metric,category,measure,description,penalty,reason
AE,SMEP,HW_NO_SMEP,Hardware does not support SMEP,5,Hardware does not support Supervisor Mode Execution Prevention
AE,SMEP,OS_NO_SMEP,Operating system does not support SMEP,5,Operating system does not support Supervisor Mode Execution Prevention
AE,SMAP,HW_NO_SMAP,Hardware does not support SMAP,5,Hardware does not support Supervisor Mode Access Prevention
AE,SMAP,OS_NO_SMAP,Operating system does not support SMAP,5,Operating system does not support Supervisor Mode Access Prevention
AE,BOOT,OS_NO_SECURE_BOOT,Operating system does not support UEFI Secure Boot,5,Operating system does not support UEFI Secure Boot
AE,BOOT,LEGACY_BIOS,System BIOS may not support UEFI Secure Boot,5,"System BIOS is is a Legacy BIOS, OR is a UEFI BIOS in Legacy/Compatibility Support Mode, and therefore prevents enabling UEFI Secure Boot"
AE,BOOT,SECURE_BOOT_NOT_ENABLED,UEFI Secure Boot is not enabled,5,System BIOS is a UEFI BIOS but UEFI Secure Boot is not enabled
AE,FONT_BLOCKING,OS_OUTDATED_FOR_FONT_BLOCKING,Operating system does not support untrusted font blocking,5,Operating system does not support untrusted font blocking
AE,FONT_BLOCKING,FONT_BLOCKING_NOT_CONFIGURED,Untrusted font blocking not been configured on this system,5,"The MitigationOptions_FontBocking (yes, it is misspelled in Windows 10 RTM) registry value under HKLM\Software\Policies\Microsoft\Windows NT\MitigationOptions\ has not been configured so untrusted font blocking is disabled"
AE,FONT_BLOCKING,FONT_BLOCKING_IS_DISABLED,Untrusted font blocking is disabled for the OS via Group Policy,5,"The MitigationOptions_FontBocking (yes, it is misspelled in Windows 10 RTM) registry value under HKLM\Software\Policies\Microsoft\Windows NT\MitigationOptions\ is set to {0} ('{1}') instead of {2} ('{3}') so untrusted font blocking is disabled"
AE,FONT_BLOCKING,FONT_BLOCKING_MO_IS_DISABLED,Untrusted font blocking is disabled for the OS via system MitigationOptions registry value,5,The MitigationOptions registry value under HKLM\System\CurrentControlSet\Control\Session Manager\Kernel\ is set to 0x{0:2X} instead of 0x{1:2X} and the Untrusted Font Blocking flag is set to {3} ('{3}') so untrusted font blocking is disabled
AE,DEP,OS_OUTDATED_FOR_DEP,Operating system does not support DEP,20,Operating system does not support DEP
AE,DEP,HW_OUTDATED_FOR_DEP,Processor does not support DEP,20,Hardware does not support DEP
AE,DEP,DEP_DISABLED,DEP disabled on system,20,DEP is disabled.
AE,DEP,DEP_DISABLED32,DEP disabled on system for 32-bit applications,10,DEP is disabled for 32-bit applications.
AE,DEP,DEP_TOO_LOW,System DEP configuration too weak,10,DEP policy too low.
AE,DEP,DEP_TOO_LOW32,System DEP configuration too weak for 32-bit applications,5,DEP policy too low for 32-bit applications.
AE,DEP,DEP_OVERRIDDEN_FOR_APP,DEP disabled for app via MitigationOptions,2,DEP is disabled for {0}
AE,DEP,APP_NOT_OPTED_IN_FOR_DEP,App not opted in for DEP,2,App {0} is not opted in for DEP
AE,DEP,APP_OPTED_OUT_FROM_DEP,App opted out from DEP,2,App {0} is opted out from DEP via the AppCompat\\Layers key.
AE,ASLR,OS_OUTDATED_FOR_ASLR,The operating system version is too old to support ASLR,20,OS version does not support ASLR
AE,ASLR,OS_OUTDATED_FOR_MANDATORY_ASLR,The operating system version is too old to support mandatory ASLR,20,Operating systems prior to Vista do not support mandatory ASLR.
AE,ASLR,ASLR_IMPLEMENTATION_WEAK,ASLR implementation known to be weak on 32-bit operating systems prior to Windows 8,10,Operating system is 32-bit and older than Windows 8.
AE,ASLR,ASLR_CONFIG_NOT_DEFINED,ASLR configuration is not defined,10,The MoveImages value under the HKLM\System\CurrentControlSet\Session Manager\Memory Management\ key is not defined so that the system defaults to OptIn. Strong security require ASLR to be configured AlwaysOn.
AE,ASLR,ASLR_CONFIG_WEAK,ASLR configuration is weak,10,"The MoveImages value under the HKLM\System\CurrentControlSet\Session Manager\Memory Management\ key is set to 1, OptIn. Strong security require ASLR to be configured AlwaysOn."
AE,ASLR,ASLR_DISABLED,ASLR is configured to be disabled,20,The MoveImages value under the HKLM\System\CurrentControlSet\Session Manager\Memory Management\ key is set to 0 so that ASLR is disabled.
AE,ASLR,APP_DOES_NOT_SUPPORT_ASLR,App does not support ASLR,2,App {0} is not built with ASLR support.
AE,SEHOP,OS_OUTDATED_FOR_SEHOP,Operating system too outdated to support SEHOP,10,OS version does not support SEHOP
AE,SEHOP,SEHOP_IS_DISABLED,SEHOP is not enabled on this system,10,SEHOP is not enabled on this system.
AE,SEHOP,SEHOP_NOT_PRESENT,SEHOP has not been configured on this system,10,The MitigationOptions registry value under HKLM\System\CurrentControlSet\Session Manager\Kernel\ does not exist.
AE,SEHOP,SEHOP_NOT_CONFIGURED,SEHOP has not been configured on this system,10,The MitigationOptions registry value under HKLM\System\CurrentControlSet\Session Manager\Kernel has not been configured to support SEHOP.
AE,SEHOP,SEHOP_IS_DISABLED_WIN8,SEHOP is not enabled on this system,10,SEHOP is disabled via the MitigationOptions registry value under HKLM\System\CurrentControlSet\Session Manager\Kernel.
AE,SEHOP,APP_DOES_NOT_SUPPORT_SEHOP,SEHOP is disabled for the app,2,App {0} does not support SEHOP.
AE,SEHOP,SEHOP_OVERRIDDEN_FOR_APP,SEHOP is overridden by the app,2,SEHOP is disabled for {0}'
AE,KSEHOP,OS_OUTDATED_FOR_KSEHOP,Operating system too outdated to support kernel SEHOP,10,OS version does not support kernel SEHOP
AE,KSEHOP,KSEHOP_NOT_CONFIGURED,Kernel SEHOP has not been configured on this system,10,The KernelSEHOPEnabled registry value under HKLM\System\CurrentControlSet\Session Manager\Kernel\ has not been configured so kernel SEHOP is disabled
AE,KSEHOP,KSEHOP_IS_DISABLED,Kernel SEHOP is disabled on this system,10,The KernelSEHOPEnabled registry value under HKLM\System\CurrentControlSet\Session Manager\Kernel is set to {0} ('{1}') instead of {2} ('{3}') so kernel SEHOP is disabled
AE,NULL_PAGE,OS_OUTDATED_FOR_NULL_PAGE_PROTECTION,Operating system too outdated to support null page mapping protection,10,OS version does not support Null Page protection
AE,NULL_PAGE,ABLE_TO_MAP_NULL_PAGE,Able to map the null page,10,Able to map the null memory page
AE,NULL_PAGE,NP_NOT_PRESENT,Null page mapping protection patch has not been applied,10,A patch (any 1 out of [{0}]) that adds the null page protection feature to the OS has not been applied
AE,NULL_PAGE,NP_NOT_CONFIGURED,Null page mapping protection has not been configured on this system,10,The EnableLowVaAccess registry value under HKLM\System\CurrentControlSet\Session Manager\Memory Management\ does not exist so the null page can be mapped
AE,NULL_PAGE,NP_IS_DISABLED,Null page mapping protection is disabled on this system,10,The EnableLowVaAccess registry value under HKLM\System\CurrentControlSet\Session Manager\Memory Management\ is set to {0} ('{1}') instead of {2} ('{3}') so the null page can be mapped
AE,CFG,OS_OUTDATED_FOR_CFG,OS version does not support CFG,20,OS version does not support Control Flow Guard
AE,CFG,CFG_NOT_PRESENT,Hotfix KB3000850 has not been applied,20,A patch (any 1 out of [{0}]) that adds the Control Flow Guard feature to the OS has not been applied
